Listing_ID,Host_Name,Property_Type,Location,Bedrooms,Bathrooms,Accommodates,Review_Score,Number_of_Reviews,Superhost,Host_Experience,Cleaning_Fee,Minimum_Nights,Amenities_Score,Instant_Bookable,Nightly_Price
993349,Ava Tran,Apartment,Inner Suburb,1,1,2,4.52,79,No,2,68.0,2,8.0,Yes,222.47
993045,Sarah Brown,Apartment,Outer Suburb,2,2,4,4.23,32,No,6,78.0,1,5.0,No,352.41
995111,Grace Clark,Apartment,Outer Suburb,3,2,6,4.32,82,Yes,3,70.0,1,6.0,Yes,341.36
997823,Wei Wang,Apartment,Inner Suburb,1,2,2,4.27,32,Yes,2,42.0,1,6.0,No,224.16
990579,Mai White,Apartment,Inner Suburb,2,1,3,4.64,67,No,4,54.0,1,5.0,Yes,233.9
995742,Hannah Thomas,House,CBD,4,3,9,4.85,51,Yes,6,94.0,5,10.0,Yes,497.55
996270,Mei Thomas,Apartment,Regional,2,3,6,4.63,119,No,3,76.0,3,5.0,No,334.82
990998,Samuel Clark,Studio,Outer Suburb,1,1,2,4.42,121,No,1,51.0,2,6.0,Yes,79.68
991505,Noah King,Apartment,Inner Suburb,1,1,4,4.2,59,No,1,65.0,1,8.0,No,300.02
996078,Ava Wang,Townhouse,CBD,4,3,10,4.36,12,No,2,100.0,2,8.0,No,408.1
997279,Linh Anderson,Apartment,Outer Suburb,2,2,4,4.71,9,No,3,67.0,1,7.0,No,327.02
997246,James Clark,House,Outer Suburb,4,2,8,4.76,63,Yes,8,91.0,3,6.0,Yes,345.54
993062,Sarah Tran,Apartment,Regional,1,2,2,4.75,68,Yes,0,61.0,2,5.0,Yes,218.38
997083,Daniel Singh,House,Outer Suburb,3,2,7,5.0,22,Yes,0,90.0,1,7.0,Yes,397.79
996926,Hannah King,Townhouse,Inner Suburb,2,1,5,4.51,53,Yes,14,51.0,2,7.0,Yes,286.63
995056,Amelia Wang,Studio,Outer Suburb,1,1,4,4.02,131,No,6,42.0,2,4.0,No,115.11
993864,Lucas King,Studio,Regional,1,1,2,4.22,34,No,7,56.0,1,6.0,No,113.21
996514,Henry Scott,Townhouse,CBD,4,3,7,4.75,98,Yes,2,90.0,2,8.0,No,526.87
996929,Hannah Anderson,House,Outer Suburb,2,1,6,4.87,93,No,3,59.0,1,5.0,Yes,371.52
993784,Emma Tran,Studio,Inner Suburb,1,1,1,4.21,58,Yes,9,43.0,1,5.0,Yes,256.05
994373,Samuel Lee,House,Inner Suburb,4,3,8,3.89,59,No,2,73.0,1,3.0,No,384.32
997808,David Jones,Apartment,Inner Suburb,1,2,4,4.08,1,No,0,43.0,2,5.0,No,236.22
992679,Olivia White,Studio,Inner Suburb,1,1,1,4.41,36,Yes,10,49.0,1,5.0,No,207.77
992293,Hannah Scott,Apartment,Inner Suburb,1,2,4,4.19,104,No,0,41.0,1,3.0,No,255.16
997840,William Brown,Townhouse,Inner Suburb,4,2,7,3.98,39,No,3,82.0,7,5.0,No,356.24
997595,Ben Walker,Apartment,Inner Suburb,2,2,3,4.51,75,Yes,3,64.0,5,6.0,Yes,343.79
991187,William King,Apartment,Inner Suburb,1,2,2,,15,No,3,46.0,2,6.0,Yes,282.3
993548,Omar Young,Townhouse,Outer Suburb,2,1,3,4.47,62,Yes,6,41.0,3,3.0,Yes,268.09
996888,An Thomas,Villa,CBD,5,3,9,4.5,123,Yes,4,99.0,3,8.0,Yes,626.48
995474,Michael Jones,House,Inner Suburb,3,2,6,4.48,28,Yes,2,91.0,2,5.0,Yes,373.0
992811,William Wang,Villa,Regional,5,3,10,4.62,84,No,4,108.0,2,9.0,Yes,435.91
991183,Emily Le,Townhouse,Outer Suburb,3,2,8,4.52,44,Yes,1,63.0,1,6.0,Yes,261.49
993514,Minh Clark,Apartment,Outer Suburb,2,1,4,4.11,32,No,7,55.0,3,5.0,No,219.46
994518,Daniel Scott,Apartment,Regional,2,2,6,4.49,90,No,1,74.0,5,9.0,No,212.89
992897,Sarah Jones,Studio,Inner Suburb,1,1,1,3.76,39,No,2,57.0,3,5.0,Yes,132.07
992422,Olivia Nguyen,House,Regional,4,3,8,4.18,99,Yes,15,88.0,1,8.0,Yes,314.82
990656,Emily Patel,House,CBD,4,2,10,4.55,29,No,3,94.0,3,9.0,Yes,466.42
996603,Henry Harris,Townhouse,Outer Suburb,3,2,6,4.52,85,No,0,45.0,1,5.0,No,295.22
992993,Ethan Martin,Apartment,Regional,2,2,6,,24,No,4,,3,2.0,No,205.54
992270,Isla Chen,House,CBD,5,3,10,4.48,56,Yes,8,90.0,1,6.0,Yes,537.85
995749,Grace Le,Apartment,Inner Suburb,1,1,4,4.0,89,No,2,47.0,1,5.0,Yes,280.72
990780,Liam Scott,Studio,Outer Suburb,1,1,4,4.46,44,No,5,52.0,2,6.0,No,71.26
997126,Daniel Wang,Studio,CBD,1,1,2,4.53,16,No,2,70.0,1,5.0,Yes,243.32
990453,Daniel Brown,House,Outer Suburb,4,3,8,4.37,15,No,4,96.0,1,5.0,No,398.12
997079,Priya King,Apartment,Inner Suburb,1,1,2,4.69,8,No,1,51.0,1,6.0,No,206.19
992093,Henry Walker,Townhouse,Inner Suburb,3,2,5,4.71,50,Yes,4,66.0,2,6.0,No,396.19
990818,Ben Clark,Studio,Regional,1,1,4,4.21,7,No,2,47.0,4,4.0,Yes,190.18
995759,Amelia Khan,Apartment,Regional,1,2,2,3.98,35,Yes,7,54.0,1,3.0,Yes,211.68
991638,Michael Smith,Apartment,Outer Suburb,2,2,5,4.7,19,Yes,4,59.0,3,7.0,Yes,206.67
995525,James Tran,Apartment,CBD,3,2,7,4.59,30,No,0,74.0,1,7.0,Yes,351.99
991417,Emma Walker,Studio,CBD,1,1,3,4.01,103,No,2,35.0,5,4.0,Yes,289.13
997806,Linh Clark,Studio,Regional,1,1,2,4.65,38,No,3,58.0,4,7.0,Yes,175.26
994797,James Anderson,Apartment,Regional,1,1,1,4.28,62,No,2,60.0,1,8.0,Yes,173.72
995604,Oliver Young,Apartment,CBD,2,1,4,4.31,15,No,0,40.0,2,3.0,Yes,286.03
990705,Isla Brown,Villa,Outer Suburb,3,2,5,4.08,24,No,1,85.0,1,7.0,No,373.49
991134,Samuel Chen,Apartment,Outer Suburb,1,1,3,4.27,56,Yes,4,57.0,1,7.0,Yes,262.23
994361,Henry Taylor,House,CBD,3,3,8,4.97,16,Yes,2,75.0,1,6.0,No,449.43
990773,Anna Singh,House,Inner Suburb,3,2,6,4.26,46,No,8,63.0,1,5.0,Yes,424.09
994219,Zoe Jones,House,Regional,3,3,8,4.43,35,Yes,8,79.0,2,5.0,No,375.13
997464,Linh Khan,House,CBD,2,2,5,4.91,31,Yes,1,79.0,1,9.0,No,300.16
993633,Minh Le,Townhouse,Regional,3,1,6,4.32,63,Yes,5,85.0,7,7.0,Yes,274.05
990194,Ava Chen,Apartment,Outer Suburb,2,2,3,,52,No,2,44.0,3,6.0,No,214.49
997647,Mia Patel,Apartment,CBD,1,2,2,4.11,70,Yes,6,68.0,10,6.0,No,303.37
997368,Arjun King,Apartment,Outer Suburb,2,2,4,4.48,29,Yes,1,83.0,3,10.0,No,222.73
995652,Mai Walker,House,Inner Suburb,5,3,10,4.72,105,Yes,8,117.0,1,10.0,No,599.46
994156,Hannah Ali,Villa,Outer Suburb,4,3,8,4.44,2,No,0,90.0,4,5.0,No,375.96
991026,Arjun Young,House,Inner Suburb,4,3,9,4.48,7,No,0,90.0,1,5.0,Yes,427.71
995369,Priya Chen,House,Outer Suburb,3,2,6,4.02,67,Yes,5,76.0,2,4.0,Yes,325.12
992946,Ethan Patel,Apartment,Outer Suburb,2,1,6,4.46,72,Yes,0,51.0,1,7.0,Yes,229.15
995138,Olivia Wang,Studio,Outer Suburb,1,2,1,4.21,28,Yes,1,49.0,2,3.0,No,240.95
996206,Emily King,Townhouse,Inner Suburb,3,3,6,5.0,58,Yes,3,70.0,1,6.0,Yes,329.46
991631,Zoe Khan,House,CBD,5,3,10,4.45,68,No,5,111.0,1,,Yes,546.37
994285,Aisha Clark,Apartment,CBD,1,1,3,4.43,14,No,0,36.0,2,5.0,Yes,208.91
995617,Ethan Smith,Townhouse,CBD,4,2,8,4.29,29,No,2,70.0,2,7.0,No,505.77
996305,Jack Anderson,Studio,CBD,1,1,2,4.79,8,No,0,58.0,1,9.0,Yes,204.02
994697,An Patel,Apartment,CBD,2,1,5,4.1,16,No,5,78.0,1,6.0,Yes,275.18
990390,Priya White,Townhouse,Outer Suburb,3,2,5,4.04,17,No,3,75.0,2,8.0,No,290.0
991117,Anna King,House,CBD,4,2,7,3.83,8,No,0,104.0,1,5.0,No,456.78
992054,Noah White,House,Outer Suburb,5,3,10,4.54,54,No,15,83.0,2,5.0,Yes,475.33
993258,Anna Singh,House,Regional,3,2,6,4.5,44,No,11,66.0,3,6.0,Yes,321.59
995258,Linh Martin,Studio,Regional,1,1,2,4.46,30,Yes,2,48.0,1,6.0,Yes,136.23
991455,Anna Thomas,Apartment,Outer Suburb,3,1,8,4.34,34,No,6,76.0,3,9.0,Yes,306.65
991139,Olivia Harris,House,Inner Suburb,3,3,7,4.6,42,No,1,68.0,1,4.0,No,338.89
992370,Arjun Tran,Villa,Regional,4,3,7,4.18,33,No,5,85.0,7,7.0,No,528.68
990917,Sophie Chen,Studio,Inner Suburb,1,2,2,,31,No,2,,2,6.0,Yes,212.78
994215,Zoe Tran,Townhouse,Inner Suburb,2,2,4,4.36,40,Yes,4,52.0,1,2.0,Yes,398.56
997532,Mai Anderson,Apartment,CBD,1,1,4,4.22,19,Yes,1,59.0,1,8.0,Yes,316.78
995024,Arjun Chen,House,CBD,5,3,10,4.49,68,No,1,103.0,1,8.0,No,472.16
995089,James Clark,Apartment,CBD,1,1,4,4.53,116,Yes,2,36.0,2,4.0,Yes,272.88
991720,Amelia Patel,House,Regional,4,3,10,4.61,26,No,8,86.0,2,6.0,Yes,395.7
996165,Ethan Scott,House,CBD,4,2,8,4.57,59,Yes,3,86.0,2,6.0,Yes,491.77
991256,Ethan Anderson,Studio,Regional,1,2,3,4.29,9,No,0,73.0,1,8.0,No,200.88
993769,Jack Ali,House,Regional,3,2,5,4.21,110,Yes,2,66.0,1,4.0,No,309.61
997242,Mai Nguyen,Townhouse,Outer Suburb,3,3,5,4.88,63,Yes,5,83.0,3,10.0,Yes,373.22
990921,Priya Smith,Townhouse,Inner Suburb,3,2,6,4.29,21,No,1,77.0,2,8.0,Yes,377.51
992043,Isla Ali,House,Outer Suburb,5,4,10,4.61,34,Yes,3,97.0,3,7.0,No,422.93
993052,Jack Chen,Villa,Outer Suburb,4,3,9,4.58,162,No,7,91.0,1,8.0,Yes,527.26
990127,Samuel Smith,House,CBD,4,2,8,4.55,42,No,0,77.0,2,6.0,Yes,479.36
997292,Sophie Lee,Apartment,Outer Suburb,1,2,2,4.55,38,Yes,1,59.0,1,5.0,Yes,175.29
994517,Noah Anderson,Townhouse,CBD,3,2,6,4.45,21,No,5,75.0,1,6.0,No,350.24
994004,Omar White,House,Outer Suburb,4,3,7,4.86,27,No,4,79.0,1,6.0,Yes,445.08
996443,Sarah Lee,House,Outer Suburb,3,3,6,4.84,63,Yes,15,77.0,4,8.0,Yes,361.44
994960,Amelia Wilson,Apartment,Regional,1,1,4,4.49,41,No,4,49.0,1,3.0,No,226.46
992788,Liam King,Apartment,Regional,1,1,3,4.53,30,Yes,0,58.0,3,4.0,Yes,105.19
997553,James Tran,Apartment,CBD,1,2,4,4.74,68,No,10,19.0,2,4.0,No,224.84
990883,Henry Jones,Studio,CBD,1,1,1,4.77,61,No,8,53.0,2,7.0,Yes,127.14
996735,Linh Wilson,House,Inner Suburb,4,3,8,4.64,50,No,6,85.0,3,5.0,Yes,509.09
994121,Mei Brown,Apartment,Inner Suburb,1,2,3,4.28,6,No,1,42.0,1,7.0,Yes,255.71
990114,Chloe Le,Studio,Outer Suburb,1,2,4,4.2,47,No,2,57.0,1,7.0,No,136.45
995022,Chloe Wang,Townhouse,Regional,2,2,6,4.71,21,Yes,2,60.0,3,8.0,No,284.66
997846,Hannah Tran,House,Regional,2,2,5,4.59,49,No,6,55.0,3,5.0,No,287.54
991289,Henry Clark,Townhouse,Inner Suburb,4,2,10,4.63,40,Yes,2,79.0,7,10.0,Yes,414.78
990733,Emily Young,House,Inner Suburb,4,3,7,4.63,107,Yes,1,92.0,1,7.0,Yes,450.5
995237,Emma Tran,Apartment,CBD,1,1,4,4.6,29,No,0,52.0,1,5.0,Yes,128.64
996351,Amelia Scott,House,CBD,3,2,7,4.43,30,No,2,70.0,10,7.0,No,376.39
992032,Samuel Martin,House,Outer Suburb,4,2,7,4.65,48,No,1,80.0,2,7.0,No,370.71
993128,Henry Le,Studio,Outer Suburb,1,2,1,4.42,7,No,1,43.0,1,3.0,Yes,122.7
993113,Jack Nguyen,Apartment,Outer Suburb,2,2,4,4.6,18,No,7,66.0,3,6.0,Yes,288.08
996211,Mai Smith,Townhouse,CBD,4,4,7,4.31,58,Yes,11,95.0,2,5.0,No,456.69
991150,Ben Singh,Apartment,Inner Suburb,2,2,3,4.24,13,No,5,49.0,2,5.0,Yes,182.84
997232,Chloe Brown,Apartment,Inner Suburb,1,1,2,4.57,52,Yes,3,49.0,2,7.0,Yes,202.54
994242,Liam Young,House,Inner Suburb,4,2,10,4.4,14,No,2,61.0,7,6.0,Yes,341.54
996714,Wei Smith,Townhouse,CBD,2,1,5,4.29,2,No,0,54.0,1,5.0,No,359.32
990500,Omar Taylor,House,CBD,4,3,9,4.58,81,Yes,3,93.0,2,8.0,No,459.36
996379,Omar Young,Townhouse,Outer Suburb,2,2,4,4.44,91,Yes,0,75.0,1,7.0,No,294.05
995251,Liam Wang,Apartment,Outer Suburb,2,3,6,4.24,75,Yes,5,75.0,7,7.0,No,164.52
996725,Sarah Chen,Apartment,CBD,1,2,1,4.42,12,No,4,30.0,1,1.0,Yes,209.45
996567,Mia Smith,House,Outer Suburb,4,2,8,4.15,38,Yes,7,89.0,2,8.0,No,327.56
995164,Omar King,House,Regional,3,2,6,5.0,66,Yes,0,73.0,2,7.0,Yes,415.67
996273,Lily Ali,Apartment,Outer Suburb,1,1,2,4.54,119,No,6,61.0,1,8.0,Yes,171.88
995303,Ethan Le,Studio,CBD,1,2,3,4.07,63,No,14,44.0,7,4.0,No,291.75
996453,Daniel Jones,Apartment,Regional,2,2,5,4.52,60,Yes,9,49.0,2,3.0,Yes,207.65
995314,Omar Nguyen,Apartment,Regional,1,1,2,4.23,19,No,7,58.0,3,3.0,Yes,179.34
995700,Liam Ali,House,Inner Suburb,3,2,8,4.34,46,Yes,1,73.0,2,6.0,Yes,358.86
991899,James Lee,Apartment,Outer Suburb,2,2,4,4.93,20,Yes,3,57.0,5,5.0,No,275.05
991797,Olivia Patel,Apartment,CBD,2,2,5,4.28,29,Yes,1,65.0,1,4.0,Yes,304.98
996737,Chloe Martin,Villa,Regional,5,3,10,4.46,121,Yes,5,90.0,7,8.0,No,520.75
992520,Arjun King,Townhouse,Inner Suburb,3,3,6,4.81,154,No,1,79.0,2,6.0,Yes,392.85
994003,Anna Chen,House,CBD,4,3,9,4.5,34,Yes,3,91.0,4,7.0,Yes,521.24
993146,Grace Chen,House,CBD,2,2,5,4.25,50,No,7,56.0,2,5.0,Yes,364.95
996742,Minh Young,Apartment,Outer Suburb,2,2,6,4.43,73,No,8,59.0,1,8.0,Yes,254.86
994751,Isla Ali,Studio,Inner Suburb,1,1,2,4.53,71,No,1,49.0,2,6.0,Yes,179.51
993491,Aisha Clark,Townhouse,CBD,3,3,8,4.26,72,No,3,80.0,2,7.0,No,235.35
994066,Grace Young,Apartment,Regional,1,1,3,4.79,36,Yes,3,49.0,1,5.0,No,254.42
994176,Noah Le,House,Regional,2,2,3,4.32,25,No,2,66.0,1,6.0,No,262.63
994330,Mai Ali,Townhouse,Regional,4,2,9,4.44,46,No,1,81.0,2,6.0,Yes,318.75
991530,Noah Martin,Townhouse,Outer Suburb,2,2,4,4.77,30,Yes,3,55.0,3,5.0,Yes,301.64
992933,Arjun Thomas,Apartment,Outer Suburb,1,2,2,4.01,28,No,7,50.0,2,5.0,No,247.4
997900,Jack Scott,Apartment,Inner Suburb,1,2,2,4.68,39,Yes,11,36.0,1,4.0,Yes,286.18
996188,Ben Jones,Apartment,CBD,1,2,2,4.39,33,Yes,7,53.0,2,5.0,Yes,273.23
996564,Ava Lee,Townhouse,CBD,4,3,9,4.79,71,Yes,1,93.0,1,9.0,No,445.8
995271,Mei Taylor,Townhouse,Inner Suburb,3,2,6,4.41,63,Yes,15,75.0,10,5.0,No,371.55
993364,Mia Scott,Apartment,Regional,1,2,1,4.52,10,No,0,42.0,1,3.0,No,188.69
993565,Sophie Tran,House,CBD,3,2,6,3.96,38,No,3,79.0,5,7.0,No,394.16
990766,Isla Jones,Studio,Outer Suburb,1,2,2,4.64,52,No,6,48.0,2,6.0,No,177.43
995690,Lucas White,Apartment,Regional,3,2,7,4.21,2,No,0,59.0,2,5.0,No,252.88
991946,Grace Le,Townhouse,Outer Suburb,3,2,7,4.51,63,Yes,15,63.0,1,4.0,Yes,311.16
991133,Lily Lee,Townhouse,Outer Suburb,3,2,6,4.35,61,Yes,6,64.0,2,5.0,Yes,435.83
992327,Sarah Khan,House,Regional,3,2,8,4.44,32,Yes,2,68.0,1,4.0,Yes,269.99
994636,Samuel Brown,House,Inner Suburb,4,3,9,4.86,100,Yes,3,68.0,1,6.0,Yes,472.45
996980,Isla Thomas,Apartment,Inner Suburb,1,1,2,4.36,56,Yes,4,46.0,4,4.0,No,278.64
992804,James Le,House,Regional,4,3,8,4.01,55,No,13,111.0,3,7.0,Yes,326.04
994372,Aisha Ali,Townhouse,CBD,3,2,8,4.37,12,No,0,88.0,2,6.0,Yes,378.71
996344,Lily Thomas,Villa,Inner Suburb,5,3,10,4.23,84,Yes,2,101.0,1,7.0,Yes,478.0
996068,Sarah King,Studio,Outer Suburb,1,2,4,4.44,114,Yes,4,57.0,2,7.0,No,267.74
997591,Minh King,Apartment,Inner Suburb,1,2,3,4.69,69,Yes,11,68.0,1,8.0,No,280.33
994780,Mia Anderson,Townhouse,Regional,4,2,8,3.69,52,No,10,92.0,3,6.0,Yes,322.66
997103,Arjun King,Apartment,Outer Suburb,1,2,3,4.72,48,Yes,8,55.0,3,6.0,Yes,296.35
991698,Michael Thomas,Townhouse,Regional,3,2,5,4.6,11,No,2,73.0,1,5.0,Yes,230.64
993855,Amelia Anderson,Studio,Regional,1,2,4,4.7,24,No,4,33.0,3,5.0,No,183.31
996131,Thomas Le,House,Outer Suburb,2,2,6,4.56,44,No,5,72.0,1,5.0,No,332.48
994588,Isla Anderson,House,CBD,3,2,6,4.32,25,No,3,75.0,3,7.0,No,427.17
991878,Amelia Walker,Apartment,Inner Suburb,3,1,5,4.51,87,Yes,4,64.0,3,7.0,Yes,252.08
993487,David Wilson,Apartment,Outer Suburb,3,2,5,4.56,10,No,3,85.0,3,9.0,Yes,432.8
990810,Ethan Smith,Apartment,Inner Suburb,3,2,7,4.3,12,No,2,67.0,2,5.0,No,317.62
997344,Samuel Patel,Studio,Inner Suburb,1,2,2,4.55,84,Yes,9,44.0,7,5.0,Yes,322.46
995709,Arjun Le,House,CBD,5,3,9,4.83,29,No,8,104.0,2,8.0,No,462.94
991098,Lucas Lee,Apartment,CBD,2,1,4,4.45,22,No,0,63.0,4,6.0,Yes,317.1
995367,Emily Walker,Villa,Outer Suburb,4,3,8,4.29,21,No,1,83.0,2,6.0,Yes,406.89
993652,Hannah Le,Studio,Regional,1,2,3,4.48,3,No,2,58.0,1,4.0,Yes,99.28
997170,Arjun Jones,Studio,Inner Suburb,1,2,4,4.45,42,Yes,0,51.0,1,7.0,No,229.52
997855,Mai King,Apartment,Inner Suburb,1,1,4,3.92,30,No,2,38.0,10,4.0,Yes,197.77
995988,Olivia Martin,Apartment,Inner Suburb,2,1,4,4.7,69,Yes,9,56.0,2,4.0,No,309.2
994788,Arjun Ali,Apartment,Inner Suburb,1,1,2,4.37,34,No,1,41.0,2,6.0,Yes,180.33
993088,Amelia Brown,Villa,Regional,4,3,8,4.85,62,No,4,86.0,2,8.0,No,481.82
995930,Ava Harris,Apartment,CBD,1,2,1,4.39,65,Yes,10,49.0,4,3.0,Yes,263.27
997811,David Khan,Apartment,CBD,1,2,2,4.1,4,No,1,60.0,2,7.0,Yes,305.04
997013,Lily Jones,Studio,Outer Suburb,1,2,1,4.6,33,No,2,47.0,1,5.0,Yes,216.95
990383,Omar Harris,House,Regional,3,2,6,,124,Yes,3,,7,3.0,No,297.03
992592,Hannah Chen,Apartment,Regional,2,2,3,4.53,18,Yes,2,54.0,3,6.0,Yes,186.04
995215,Minh Taylor,House,CBD,3,2,6,4.18,25,No,3,99.0,4,8.0,No,451.66
992336,Sophie Thomas,Apartment,Inner Suburb,1,1,2,4.09,49,Yes,12,46.0,1,7.0,Yes,239.96
995483,Anna King,House,CBD,3,2,5,4.4,29,No,1,64.0,1,4.0,No,328.13
996217,William Chen,House,Inner Suburb,4,2,7,4.09,16,No,0,88.0,4,8.0,No,417.82
995751,Wei Jones,Townhouse,Outer Suburb,2,1,3,4.5,23,No,2,62.0,2,9.0,Yes,237.89
993726,Ben Thomas,Villa,Regional,4,2,7,4.42,25,Yes,1,87.0,1,8.0,No,418.21
995085,Lily Scott,Apartment,Inner Suburb,1,2,2,4.56,21,Yes,2,48.0,3,4.0,No,98.94
993476,Ethan Walker,House,Regional,2,1,6,4.4,11,No,2,62.0,1,6.0,Yes,292.47
993198,Daniel Patel,Apartment,Outer Suburb,3,2,8,4.49,24,No,1,79.0,2,6.0,No,348.48
995034,Wei Khan,Apartment,Outer Suburb,2,2,4,4.64,51,No,6,46.0,1,4.0,Yes,267.34
997334,Linh King,Townhouse,Inner Suburb,3,2,6,4.65,5,No,0,70.0,2,5.0,Yes,302.64
992235,Mei White,Studio,Outer Suburb,1,1,4,4.47,13,No,5,22.0,1,,Yes,220.84
997583,Omar White,Studio,Inner Suburb,1,1,4,4.24,6,No,2,56.0,1,6.0,No,264.21
996461,Minh Tran,Apartment,Outer Suburb,2,2,5,4.77,11,No,3,60.0,2,8.0,No,260.53
995209,James Martin,Apartment,Outer Suburb,1,2,2,4.71,32,No,7,45.0,1,5.0,Yes,288.18
997010,William Scott,House,Inner Suburb,2,1,4,4.23,60,Yes,7,62.0,5,5.0,No,301.32
995853,David Singh,Apartment,CBD,3,2,7,4.25,73,No,1,82.0,3,6.0,Yes,436.54
994749,Ethan Singh,Apartment,Regional,1,2,2,4.46,17,No,7,66.0,3,8.0,No,251.26
996634,Daniel Chen,House,Outer Suburb,3,3,8,4.23,14,No,2,81.0,3,7.0,No,303.0
996385,Lily King,Townhouse,Inner Suburb,2,2,3,4.64,12,No,1,56.0,3,6.0,Yes,313.57
991265,Sophie Smith,House,Regional,5,3,10,4.27,77,Yes,3,93.0,1,6.0,Yes,461.14
997609,Daniel Ali,Studio,CBD,1,2,2,4.01,91,Yes,2,54.0,3,6.0,No,283.17
991464,Ava Taylor,Apartment,Outer Suburb,1,2,4,,89,No,3,,1,7.0,Yes,152.25
990625,Mai Martin,Apartment,Inner Suburb,1,2,4,4.06,47,Yes,3,50.0,3,3.0,Yes,248.83
996663,Minh Harris,Townhouse,CBD,3,3,7,4.42,85,Yes,5,70.0,1,3.0,No,401.68
993465,Henry Clark,Villa,CBD,5,3,10,4.8,19,Yes,0,109.0,1,7.0,No,554.99
994033,William Smith,House,CBD,3,2,7,3.87,105,Yes,6,58.0,2,4.0,No,436.62
990888,Henry Brown,House,Regional,4,3,7,4.21,50,No,1,92.0,2,3.0,Yes,417.97
995638,Olivia Walker,Apartment,Outer Suburb,1,1,2,4.68,47,No,2,49.0,3,5.0,No,143.3
991615,Anna Taylor,Townhouse,Outer Suburb,3,3,7,4.11,14,No,6,82.0,3,6.0,Yes,352.69
995997,Minh Ali,Studio,Inner Suburb,1,1,2,4.63,99,Yes,12,55.0,2,7.0,No,197.63
990441,Zoe King,Studio,Regional,1,1,2,4.46,6,No,1,47.0,2,3.0,Yes,86.61
